sentence_id,reference,TensorFlow NMT_hypothesis,PyTorch Transformer_hypothesis,TensorFlow NMT_sentence_chrfpp,PyTorch Transformer_sentence_chrfpp,chrfpp_difference_TensorFlow NMT_minus_PyTorch Transformer,winner
42,Về nhà ở đâu ?,Hãy đi về nhà để làm gì ?,về nhà ở đâu?,30.13186804241904,100.0,-69.86813195758096,PyTorch Transformer
860,Nhưng có hơn 48 giờ video được tải lên Youtube mỗi phút .,"Nhưng có khoảng 45 giờ trong video , một trong những phút khác nhau .",nhưng có hơn 48 giờ video được đăng tải lên youtube mỗi phút.,25.72806796119217,92.73925778469255,-67.01118982350039,PyTorch Transformer
1474,Và chúng tôi muốn vật liệu này tiếp cận được với mọi người .,Và chúng ta muốn làm điều này có thể đạt được được những thứ này để có thể đạt được được .,và chúng tôi muốn tạo ra vật liệu này có thể tiếp cận được với mọi người.,24.384631963650786,85.27969528076903,-60.89506331711824,PyTorch Transformer
463,Nó vẫn chưa bị ngộp,Không phải là chết .,nó vẫn chưa bị chết đuối.,5.8724054855448475,64.54694032819033,-58.674534842645485,PyTorch Transformer
37,Chúng tôi rất nghèo .,Chúng ta là người nghèo .,chúng tôi rất nghèo.,44.158644249099744,100.0,-55.841355750900256,PyTorch Transformer
11,Ông là ông của tôi .,Anh ấy là anh tôi .,ông là ông nội của tôi.,22.986986791046757,77.33972197405382,-54.352735183007056,PyTorch Transformer
22,"Nỗi sợ hãi lớn nhất là cướp biển , nạn cưỡng hiếp , và cái chết .","Sự sợ hãi nhất là những người bị thương , hiếp dâm và chết .","nỗi sợ hãi lớn nhất là cướp biển, cưỡng hiếp và cái chết.",29.574908824231017,82.22440618094953,-52.64949735671851,PyTorch Transformer
765,Và tôi cứ tự hỏi .,Tôi đã đặt bản thân những câu hỏi này .,và tôi cứ tự hỏi mình những câu hỏi này.,18.119521459729494,69.96419228215728,-51.84467082242779,PyTorch Transformer
905,Ai đó đã tạo ra một phiên bản cũ .,Một phiên bản được làm một phiên bản cũ .,ai đó đã tạo ra một phiên bản cũ.,49.11341162340004,100.0,-50.88658837659996,PyTorch Transformer
1208,Nó lan truyền rộng rãi .,Nó lan rộng lan rộng .,nó được lan truyền rộng ra rộng rãi.,34.01519690559189,80.75119840599716,-46.736001500405266,PyTorch Transformer
