sentence_id,reference,TensorFlow NMT_hypothesis,PyTorch Transformer_hypothesis,TensorFlow NMT_sentence_chrfpp,PyTorch Transformer_sentence_chrfpp,chrfpp_difference_TensorFlow NMT_minus_PyTorch Transformer,winner
1,"Khi tôi còn nhỏ , Tôi nghĩ rằng BắcTriều Tiên là đất nước tốt nhất trên thế giới và tôi thường hát bài &quot; Chúng ta chẳng có gì phải ghen tị . &quot;","Khi tôi còn nhỏ , tôi nghĩ đất nước của mình là tốt nhất trong hành tinh , và tôi lớn lên được hát một bài hát gọi là &quot; Không ai phải có gì &quot;","khi tôi còn nhỏ, tôi nghĩ đất nước tôi là người tốt nhất trên hành tinh này, và tôi lớn lên hát một bài hát có tên là & quot không có gì phải tán dương. & quot",45.061682598374766,48.965055238455456,-3.90337264008069,PyTorch Transformer
2,Tôi đã rất tự hào về đất nước tôi .,Và tôi rất tự hào .,và tôi rất tự hào.,33.35778402407964,33.35778402407964,0.0,Tie
3,"Ở trường , chúng tôi dành rất nhiều thời gian để học về cuộc đời của chủ tịch Kim II- Sung , nhưng lại không học nhiều về thế giới bên ngoài , ngoại trừ việc Hoa Kỳ , Hàn Quốc và Nhật Bản là kẻ thù của chúng tôi .","Ở trường , chúng tôi dành nhiều thời gian nghiên cứu về lịch sử Kim Truyền , nhưng chúng ta chưa bao giờ học được nhiều về thế giới bên ngoài , ngoại trừ Mỹ , Nhật Bản là kẻ thù .","ở trường, chúng tôi đã dành rất nhiều thời gian nghiên cứu lịch sử kim cương hát, nhưng chúng tôi chưa bao giờ học được nhiều về thế giới bên ngoài, ngoại trừ nước mỹ, hàn quốc, nhật bản là kẻ thù.",53.66227693105608,58.797192171741955,-5.134915240685878,PyTorch Transformer
4,"Mặc dù tôi đã từng tự hỏi không biết thế giới bên ngoài kia như thế nào , nhưng tôi vẫn nghĩ rằng mình sẽ sống cả cuộc đời ở BắcTriều Tiên , cho tới khi tất cả mọi thứ đột nhiên thay đổi .","Mặc dù tôi thường tự hỏi về thế giới bên ngoài , tôi nghĩ rằng tôi sẽ dành cả đời trong Bắc Triều tiên , cho đến khi mọi thứ đột nhiên thay đổi .","mặc dù tôi thường tự hỏi về thế giới bên ngoài, tôi nghĩ tôi sẽ dành cả đời mình ở bắc triều tiên, cho đến mọi thứ bất ngờ thay đổi.",51.372207217307896,42.55230059719536,8.819906620112533,TensorFlow NMT
5,"Khi tôi lên 7 , tôi chứng kiến cảnh người ta xử bắn công khai lần đầu tiên trong đời , nhưng tôi vẫn nghĩ cuộc sống của mình ở đây là hoàn toàn bình thường .","Khi tôi 7 tuổi , tôi thấy những cuộc hành động đầu tiên của mình , nhưng tôi nghĩ cuộc sống của mình ở Bắc Triều tiên là bình thường .","khi tôi 7 tuổi, tôi nhìn thấy cuộc hành trình công cộng đầu tiên của mình, nhưng tôi nghĩ cuộc sống của tôi ở bắc triều tiên là bình thường.",43.58216778079175,42.93679498105117,0.6453727997405778,TensorFlow NMT
6,"Gia đình của tôi không nghèo , và bản thân tôi thì chưa từng phải chịu đói .","Gia đình của tôi không phải là người nghèo , và tôi đã không bao giờ trải qua sự thiếu hụt .","gia đình tôi không nghèo, và bản thân tôi, tôi chưa bao giờ trải qua nạn đói.",47.056877164671036,58.713296375306534,-11.656419210635498,PyTorch Transformer
7,"Nhưng vào một ngày của năm 1995 , mẹ tôi mang về nhà một lá thư từ một người chị em cùng chỗ làm với mẹ .","Nhưng một ngày , năm 1995 , mẹ tôi đã mang nhà từ một lá thư từ một cô gái của một cô gái .","nhưng một ngày, vào năm 1995, mẹ tôi mang về nhà một lá thư từ một người đồng nghiệp.",45.67906435286231,63.04849549728362,-17.369431144421306,PyTorch Transformer
8,"Trong đó có viết : Khi chị đọc được những dòng này thì cả gia đình 5 người của em đã không còn trên cõi đời này nữa , bởi vì cả nhà em đã không có gì để ăn trong hai tuần .","Nó đọc , &quot; Khi bạn đọc được , tất cả những thành viên gia đình sẽ không tồn tại trong thế giới này , vì chúng ta chưa ăn được cho hai tuần qua .","nó đọc, & quot khi bạn đọc được điều này, tất cả năm thành viên gia đình sẽ không tồn tại trong thế giới này, bởi vì chúng ta vẫn chưa ăn trong vòng hai tuần.",26.00703554487239,32.70878826033937,-6.701752715466977,PyTorch Transformer
9,"Tất cả cùng nằm trên sàn , và cơ thể chúng tôi yếu đến có thể cảm thấy như cái chết đang đến rất gần .","Chúng ta đang nói dối trên sàn bên cùng với nhau , và cơ thể chúng ta là những gì chúng ta sẵn sàng chết . &quot;","chúng ta đang nằm trên sàn cùng với nhau, và cơ thể của chúng ta quá yếu chúng ta sẵn sàng chết. & quot",31.687780988213515,36.40735862191108,-4.719577633697565,PyTorch Transformer
10,Tôi đã bị sốc .,Tôi đã rất sốc .,tôi thực sự bị sốc.,47.975834333379865,48.88579388071982,-0.9099595473399518,PyTorch Transformer
